שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°)
תל-אביב חוף                                       ,2410,06-05-2021,25.9,19.5
תל-אביב חוף                                       ,2410,07-05-2021,25.6,20.6
תל-אביב חוף                                       ,2410,08-05-2021,25.8,18.8
תל-אביב חוף                                       ,2410,09-05-2021,34.7,21.5
תל-אביב חוף                                       ,2410,10-05-2021,25.4,22.5
תל-אביב חוף                                       ,2410,11-05-2021,25.8,21.2
תל-אביב חוף                                       ,2410,12-05-2021,25.6,19.0
תל-אביב חוף                                       ,2410,13-05-2021,-,19.9
תל-אביב חוף                                       ,2410,14-05-2021,24.9,18.6
תל-אביב חוף                                       ,2410,15-05-2021,25.6,18.8
תל-אביב חוף                                       ,2410,16-05-2021,25.3,17.1
תל-אביב חוף                                       ,2410,17-05-2021,26.2,22.0
תל-אביב חוף                                       ,2410,18-05-2021,25.6,20.0
תל-אביב חוף                                       ,2410,19-05-2021,25.6,19.7
תל-אביב חוף                                       ,2410,20-05-2021,26.2,20.4
תל-אביב חוף                                       ,2410,21-05-2021,25.5,22.4
תל-אביב חוף                                       ,2410,22-05-2021,24.1,21.9
תל-אביב חוף                                       ,2410,23-05-2021,25.0,20.9
תל-אביב חוף                                       ,2410,24-05-2021,25.6,20.1
תל-אביב חוף                                       ,2410,25-05-2021,26.8,20.9
תל-אביב חוף                                       ,2410,26-05-2021,27.7,20.4
תל-אביב חוף                                       ,2410,27-05-2021,28.0,20.6
תל-אביב חוף                                       ,2410,28-05-2021,26.7,21.6
תל-אביב חוף                                       ,2410,29-05-2021,26.3,22.0
תל-אביב חוף                                       ,2410,30-05-2021,27.3,20.9
תל-אביב חוף                                       ,2410,31-05-2021,32.7,21.6
תל-אביב חוף                                       ,2410,01-06-2021,27.5,22.9
תל-אביב חוף                                       ,2410,02-06-2021,26.8,22.9
תל-אביב חוף                                       ,2410,03-06-2021,26.0,20.1
תל-אביב חוף                                       ,2410,04-06-2021,26.2,20.4
תל-אביב חוף                                       ,2410,05-06-2021,26.4,20.6
תל-אביב חוף                                       ,2410,06-06-2021,26.7,20.5
תל-אביב חוף                                       ,2410,07-06-2021,27.3,20.5
תל-אביב חוף                                       ,2410,08-06-2021,26.6,19.5
תל-אביב חוף                                       ,2410,09-06-2021,28.0,20.8
תל-אביב חוף                                       ,2410,10-06-2021,27.8,23.5
תל-אביב חוף                                       ,2410,11-06-2021,27.3,22.3
תל-אביב חוף                                       ,2410,12-06-2021,27.1,22.6
תל-אביב חוף                                       ,2410,13-06-2021,26.0,23.5
תל-אביב חוף                                       ,2410,14-06-2021,27.1,23.6
תל-אביב חוף                                       ,2410,15-06-2021,27.5,22.2
תל-אביב חוף                                       ,2410,16-06-2021,27.2,21.6
תל-אביב חוף                                       ,2410,17-06-2021,27.0,23.4
תל-אביב חוף                                       ,2410,18-06-2021,27.2,22.3
תל-אביב חוף                                       ,2410,19-06-2021,27.3,22.2
תל-אביב חוף                                       ,2410,20-06-2021,27.3,21.6
