date,E
2023-07-10 10:37:30,0.004116273
2023-07-10 10:38:30,0.00401222
2023-07-10 10:39:30,0.003694383
2023-07-10 10:40:30,0.003505741
2023-07-10 10:41:30,0.003361293
2023-07-10 10:42:30,0.00321438
2023-07-10 10:43:30,0.003119153
2023-07-10 10:44:30,0.003004818
2023-07-10 10:45:30,0.002914499
2023-07-10 10:46:30,0.002787728
2023-07-10 10:47:30,0.002644217
2023-07-10 10:48:30,0.002585545
2023-07-10 10:49:30,0.002744724
2023-07-10 10:50:30,0.002811119
2023-07-10 10:51:30,0.00283614
2023-07-10 10:52:30,0.002869963
2023-07-10 10:53:30,0.00290044
2023-07-10 10:54:30,0.002930992
2023-07-10 10:55:30,0.00279569
2023-07-10 10:56:30,0.00256713
2023-07-10 10:57:30,0.002482957
2023-07-10 10:58:30,0.002528343
2023-07-10 10:59:30,0.002307464
2023-07-10 11:00:30,0.002191455
2023-07-10 11:01:30,0.002156855
2023-07-10 11:02:30,0.002106492
2023-07-10 11:03:30,0.00209327
2023-07-10 11:04:30,0.002001244
2023-07-10 11:05:30,0.001986014
2023-07-10 11:06:30,0.00204018
2023-07-10 11:07:30,0.002222394
2023-07-10 11:08:30,0.002056459
2023-07-10 11:09:30,0.002020169
2023-07-10 11:10:30,0.002114542
2023-07-10 11:11:30,0.002321593
2023-07-10 11:12:30,0.002280316
2023-07-10 11:13:30,0.002115878
2023-07-10 11:14:30,0.002313065
2023-07-10 11:15:30,0.002519738
2023-07-10 11:16:30,0.002653946
2023-07-10 11:17:30,0.002799322
2023-07-10 11:18:30,0.002641868
2023-07-10 11:19:30,0.002512152
2023-07-10 11:20:30,0.00242359
2023-07-10 11:21:30,0.002388799
2023-07-10 11:22:30,0.00230357
2023-07-10 11:23:30,0.002407968
2023-07-10 11:24:30,0.002592317
2023-07-10 11:25:30,0.002736771
2023-07-10 11:26:30,0.002867272
2023-07-10 11:27:30,0.002529088
2023-07-10 11:28:30,0.002477112
2023-07-10 11:29:30,0.002806078
2023-07-10 11:30:30,0.002655182
2023-07-10 11:31:30,0.002920846
2023-07-10 11:32:30,0.003093975
2023-07-10 11:33:31,0.002835832
2023-07-10 11:34:31,0.002963506
2023-07-10 11:35:31,0.00275008
2023-07-10 11:36:31,0.002675661
2023-07-10 11:37:31,0.002639206
2023-07-10 11:38:31,0.002683407
2023-07-10 11:39:31,0.002892797
2023-07-10 11:40:31,0.002583411
2023-07-10 11:41:31,0.002571466
2023-07-10 11:42:31,0.002568121
2023-07-10 11:43:31,0.002514378
2023-07-10 11:44:31,0.002491762
2023-07-10 11:45:31,0.002571551
2023-07-10 11:46:31,0.002915079
2023-07-10 11:47:31,0.003055108
2023-07-10 11:48:31,0.002866345
2023-07-10 11:49:31,0.002780438
2023-07-10 11:50:31,0.003132803
2023-07-10 11:51:31,0.003261278
2023-07-10 11:52:31,0.00333206
2023-07-10 11:53:31,0.003442054
2023-07-10 11:54:31,0.003562046
2023-07-10 11:55:31,0.003637788
2023-07-10 11:56:31,0.003776924
2023-07-10 11:57:31,0.003779316
2023-07-10 11:58:31,0.00341111
2023-07-10 11:59:31,0.003268433
2023-07-10 12:00:31,0.003664977
2023-07-10 12:01:31,0.003481032
2023-07-10 12:02:31,0.003455787
2023-07-10 12:03:31,0.003626154
2023-07-10 12:04:31,0.00364202
2023-07-10 12:05:31,0.003621247
2023-07-10 12:06:31,0.003709157
2023-07-10 12:07:31,0.003868635
2023-07-10 12:08:31,0.003853163
2023-07-10 12:09:31,0.003835927
2023-07-10 12:10:31,0.003671453
2023-07-10 12:11:31,0.003698943
2023-07-10 12:12:31,0.003846479
2023-07-10 12:13:31,0.003837841
2023-07-10 12:14:31,0.003913593
2023-07-10 12:15:31,0.003893137
2023-07-10 12:16:31,0.003980002
2023-07-10 12:17:31,0.004007952
2023-07-10 12:18:31,0.004069933
2023-07-10 12:19:31,0.004043936
2023-07-10 12:20:31,0.004065713
2023-07-10 12:21:31,0.004099492
2023-07-10 12:22:31,0.004105355
2023-07-10 12:23:31,0.004114025
2023-07-10 12:24:31,0.00414286
2023-07-10 12:25:31,0.004061637
2023-07-10 12:26:32,0.004078246
2023-07-10 12:27:32,0.004091268
2023-07-10 12:28:32,0.004121382
2023-07-10 12:29:32,0.00417702
2023-07-10 12:30:32,0.003777642
2023-07-10 12:31:32,0.004059892
2023-07-10 12:32:32,0.004112345
2023-07-10 12:33:32,0.004124999
2023-07-10 12:34:32,0.004149372
2023-07-10 12:35:32,0.003479677
2023-07-10 12:36:32,0.004039883
2023-07-10 12:37:32,0.004068511
2023-07-10 12:38:32,0.004024264
2023-07-10 12:39:32,0.00407995
2023-07-10 12:40:32,0.004129324
2023-07-10 12:41:32,0.004065188
2023-07-10 12:42:32,0.004110445
2023-07-10 12:43:32,0.004119065
2023-07-10 12:44:32,0.004170943
2023-07-10 12:45:32,0.004149531
2023-07-10 12:46:32,0.004230572
2023-07-10 12:47:32,0.004215797
2023-07-10 12:48:32,0.004199277
2023-07-10 12:49:32,0.004217565
2023-07-10 12:50:32,0.004075587
2023-07-10 12:51:32,0.004121901
2023-07-10 12:52:32,0.004177913
2023-07-10 12:53:32,0.003963881
2023-07-10 12:54:32,0.00365599
2023-07-10 12:55:32,0.004012449
2023-07-10 12:56:32,0.003832595
