time,tree,solar_elevation
2018-07-27 00:15:00,14.53956699,-38.90846568878611
2018-07-27 00:45:00,14.54053497,-37.45933732003773
2018-07-27 01:15:00,14.54731369,-35.09771788512025
2018-07-27 01:45:00,14.54828262,-31.9358652373708
2018-07-27 02:15:00,14.54924965,-28.097681406731
2018-07-27 02:45:00,14.56764984,-23.70229100237077
2018-07-27 03:15:00,14.57442665,-18.855024414192258
2018-07-27 03:45:00,14.59282494,-13.644413717304849
2018-07-27 04:15:00,14.60638237,-8.142772420696877
2018-07-27 04:45:00,14.60541344,-2.408391498499272
2018-07-27 05:15:00,14.6073513,3.511824640422394
2018-07-27 05:45:00,14.61316109,9.579834971577394
2018-07-27 06:15:00,14.6102562,15.764231598483205
2018-07-27 06:45:00,14.61413002,22.03828871140552
2018-07-27 07:15:00,14.61122322,28.37816250067313
2018-07-27 07:45:00,14.61413002,34.761014945894814
2018-07-27 08:15:00,14.6199398,41.16267284328796
2018-07-27 08:45:00,14.61509705,47.55405652680675
2018-07-27 09:15:00,14.61800194,53.894677907718005
2018-07-27 09:45:00,14.61606598,60.118978241430085
2018-07-27 10:15:00,14.61606598,66.10385258052392
2018-07-27 10:45:00,14.61316109,71.58326666196794
2018-07-27 11:15:00,14.61316109,75.92487089779935
2018-07-27 11:45:00,14.61122322,77.82246382831372
2018-07-27 12:15:00,14.60831833,76.21978361305352
2018-07-27 12:45:00,14.59960365,72.03357452322378
2018-07-27 13:15:00,14.59863663,66.62122160070471
2018-07-27 13:45:00,14.5947628,60.66595444028617
2018-07-27 14:15:00,14.59960365,54.45462227322963
2018-07-27 14:45:00,14.59766769,48.11840782391074
2018-07-27 15:15:00,14.58895302,41.72623776974942
2018-07-27 15:45:00,14.56668091,35.32008231722798
2018-07-27 16:15:00,14.55409241,28.929652119975863
2018-07-27 16:45:00,14.52504158,22.579309958854605
2018-07-27 17:15:00,14.5192318,16.29181290193847
2018-07-27 17:45:00,14.48630905,10.09072285934894
2018-07-27 18:15:00,14.48146629,4.002304486504974
2018-07-27 18:45:00,14.47953033,-1.942677791194134
2018-07-27 19:15:00,14.47372055,-7.707023802036065
2018-07-27 19:45:00,14.47662544,-13.244882646014188
2018-07-27 20:15:00,14.48340416,-18.499227173101843
2018-07-27 20:45:00,14.48243523,-23.39916681684125
2018-07-27 21:15:00,14.48049927,-27.857600274299745
2018-07-27 21:45:00,14.48534012,-31.77031611810543
2018-07-27 22:15:00,14.48534012,-35.01845793030686
2018-07-27 22:45:00,14.48921394,-37.47684178685892
2018-07-27 23:15:00,14.4911499,-39.029813387618205
2018-07-27 23:45:00,14.49405479,-39.59286390502362
2018-07-28 00:15:00,14.496959685,-39.13284246872196
2018-07-28 00:45:00,14.49986458,-37.676925904401386
2018-07-28 01:15:00,14.50858116,-35.30522196281994
2018-07-28 01:45:00,14.53956795,-32.13126272366678
2018-07-28 02:15:00,14.54150391,-28.280118228389203
2018-07-28 02:45:00,14.54828262,-23.87179132473575
2018-07-28 03:15:00,14.55118752,-19.01217960396353
2018-07-28 03:45:00,14.59379387,-13.790133677761572
2018-07-28 04:15:00,14.61122322,-8.278118293102915
2018-07-28 04:45:00,14.60638237,-2.5344780224221126
2018-07-28 05:15:00,14.61509705,3.3938760601279627
2018-07-28 05:45:00,14.64027405,9.46890841722002
2018-07-28 06:15:00,14.65286255,15.65920411576636
2018-07-28 06:45:00,14.65189362,21.937997371348104
2018-07-28 07:15:00,14.65673637,28.28134959667432
2018-07-28 07:45:00,14.65867233,34.666243156708035
2018-07-28 08:15:00,14.66351509,41.06819210878892
2018-07-28 08:45:00,14.66641998,47.45758639094725
2018-07-28 09:15:00,14.66351509,53.793034711762765
2018-07-28 09:45:00,14.65867233,60.007414259048446
2018-07-28 10:15:00,14.65092659,65.97491126674001
2018-07-28 10:45:00,14.65189362,71.42535956334366
2018-07-28 11:15:00,14.65092659,75.72516895993695
2018-07-28 11:45:00,14.64705276,77.59316251376467
2018-07-28 12:15:00,14.63640022,76.01208986225592
2018-07-28 12:45:00,14.6228447,71.86591873525191
2018-07-28 13:15:00,14.60541344,66.48271466020249
2018-07-28 13:45:00,14.59960365,60.54517171895178
2018-07-28 14:15:00,14.57830048,54.34402489236584
2018-07-28 14:45:00,14.57442665,48.01317124004022
2018-07-28 15:15:00,14.56087112,41.623128487168245
2018-07-28 15:45:00,14.52988434,35.21679020800753
2018-07-28 16:15:00,14.5192318,28.82441080526252
2018-07-28 16:45:00,14.48146629,22.47067487332466
2018-07-28 17:15:00,14.47275162,16.178525753368916
2018-07-28 17:45:00,14.4659729,9.971625514583405
2018-07-28 18:15:00,14.46403694,3.876283559286149
2018-07-28 18:45:00,14.46113205,-2.076724132667438
2018-07-28 19:15:00,14.45822716,-7.850198504284836
2018-07-28 19:45:00,14.45822716,-13.39827790060498
2018-07-28 20:15:00,14.45919418,-18.66387815684357
2018-07-28 20:45:00,14.46210098,-23.57595531267241
2018-07-28 21:15:00,14.46694183,-28.04708904530216
2018-07-28 21:45:00,14.47468948,-31.972501223025866
2018-07-28 22:15:00,14.47178268,-35.232455338953685
2018-07-28 22:45:00,14.47662544,-37.70058854389736
2018-07-28 23:15:00,14.48727608,-39.2599456479098
2018-07-28 23:45:00,14.49405479,-39.82495611549128
2018-07-29 00:15:00,14.500349045,-39.36205294375248
2018-07-29 00:45:00,14.5066433,-37.898831167989286
2018-07-29 01:15:00,14.53666306,-35.51647468297287
2018-07-29 01:45:00,14.53375626,-32.32984244982117
2018-07-29 02:15:00,14.55215645,-28.46521027901464
