date,original,mis_1,mis_2,mis_3
2019-07-01 00:00:00,21.808333333333334,21.808333333333334,21.808333333333334,21.808333333333334
2019-07-01 02:00:00,20.808333333333334,20.808333333333334,20.808333333333334,20.808333333333334
2019-07-01 04:00:00,20.283333333333335,20.283333333333335,20.283333333333335,20.283333333333335
2019-07-01 06:00:00,22.21666666666667,22.21666666666667,22.21666666666667,22.21666666666667
2019-07-01 08:00:00,26.09166666666667,26.09166666666667,,26.09166666666667
2019-07-01 10:00:00,28.133333333333336,28.133333333333336,28.133333333333336,28.133333333333336
2019-07-01 12:00:00,28.675,28.675,28.675,28.675
2019-07-01 14:00:00,27.891666666666666,27.891666666666666,27.891666666666666,27.891666666666666
2019-07-01 16:00:00,26.025000000000002,26.025000000000002,26.025000000000002,26.025000000000002
2019-07-01 18:00:00,23.316666666666666,23.316666666666666,23.316666666666666,23.316666666666666
2019-07-01 20:00:00,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998
2019-07-01 22:00:00,21.508333333333336,21.508333333333336,21.508333333333336,21.508333333333336
2019-07-02 00:00:00,21.175,21.175,21.175,21.175
2019-07-02 02:00:00,21.008333333333333,21.008333333333333,21.008333333333333,21.008333333333333
2019-07-02 04:00:00,20.566666666666666,20.566666666666666,20.566666666666666,20.566666666666666
2019-07-02 06:00:00,22.825,22.825,22.825,22.825
2019-07-02 08:00:00,25.191666666666666,25.191666666666666,25.191666666666666,25.191666666666666
2019-07-02 10:00:00,26.78333333333333,26.78333333333333,26.78333333333333,26.78333333333333
2019-07-02 12:00:00,27.308333333333334,27.308333333333334,27.308333333333334,27.308333333333334
2019-07-02 14:00:00,26.916666666666668,26.916666666666668,26.916666666666668,26.916666666666668
2019-07-02 16:00:00,25.25,25.25,25.25,25.25
2019-07-02 18:00:00,22.95,22.95,22.95,22.95
2019-07-02 20:00:00,20.75,20.75,20.75,20.75
2019-07-02 22:00:00,19.366666666666667,19.366666666666667,19.366666666666667,19.366666666666667
2019-07-03 00:00:00,18.625,18.625,18.625,18.625
2019-07-03 02:00:00,18.433333333333334,,18.433333333333334,18.433333333333334
2019-07-03 04:00:00,18.208333333333332,18.208333333333332,,18.208333333333332
2019-07-03 06:00:00,19.991666666666667,19.991666666666667,,19.991666666666667
2019-07-03 08:00:00,23.325,23.325,,23.325
2019-07-03 10:00:00,25.941666666666666,25.941666666666666,25.941666666666666,25.941666666666666
2019-07-03 12:00:00,27.133333333333336,27.133333333333336,27.133333333333336,27.133333333333336
2019-07-03 14:00:00,26.833333333333332,26.833333333333332,26.833333333333332,26.833333333333332
2019-07-03 16:00:00,25.391666666666666,25.391666666666666,25.391666666666666,25.391666666666666
2019-07-03 18:00:00,22.974999999999998,22.974999999999998,22.974999999999998,22.974999999999998
2019-07-03 20:00:00,20.75,20.75,20.75,20.75
2019-07-03 22:00:00,19.758333333333333,19.758333333333333,19.758333333333333,19.758333333333333
2019-07-04 00:00:00,19.400000000000002,,19.400000000000002,19.400000000000002
2019-07-04 02:00:00,18.825,,18.825,18.825
2019-07-04 04:00:00,19.233333333333334,19.233333333333334,19.233333333333334,19.233333333333334
2019-07-04 06:00:00,22.53333333333333,22.53333333333333,,22.53333333333333
2019-07-04 08:00:00,25.59166666666667,25.59166666666667,,25.59166666666667
2019-07-04 10:00:00,28.133333333333336,28.133333333333336,,28.133333333333336
2019-07-04 12:00:00,29.53333333333333,,,29.53333333333333
2019-07-04 14:00:00,28.616666666666664,28.616666666666664,,28.616666666666664
2019-07-04 16:00:00,26.825,26.825,,26.825
2019-07-04 18:00:00,23.166666666666668,23.166666666666668,,23.166666666666668
2019-07-04 20:00:00,20.575,20.575,20.575,20.575
2019-07-04 22:00:00,19.091666666666665,19.091666666666665,19.091666666666665,19.091666666666665
2019-07-05 00:00:00,18.158333333333335,18.158333333333335,18.158333333333335,18.158333333333335
2019-07-05 02:00:00,17.650000000000002,17.650000000000002,,17.650000000000002
2019-07-05 04:00:00,17.575,,17.575,17.575
2019-07-05 06:00:00,20.650000000000002,20.650000000000002,20.650000000000002,20.650000000000002
2019-07-05 08:00:00,24.724999999999998,24.724999999999998,24.724999999999998,24.724999999999998
2019-07-05 10:00:00,26.45,26.45,26.45,26.45
2019-07-05 12:00:00,27.59166666666667,27.59166666666667,27.59166666666667,27.59166666666667
2019-07-05 14:00:00,27.5,,27.5,27.5
2019-07-05 16:00:00,26.241666666666664,26.241666666666664,26.241666666666664,26.241666666666664
2019-07-05 18:00:00,22.974999999999998,,22.974999999999998,22.974999999999998
2019-07-05 20:00:00,20.25,20.25,20.25,20.25
2019-07-05 22:00:00,19.150000000000002,19.150000000000002,19.150000000000002,19.150000000000002
2019-07-06 00:00:00,20.041666666666668,20.041666666666668,20.041666666666668,20.041666666666668
2019-07-06 02:00:00,21.016666666666666,21.016666666666666,21.016666666666666,21.016666666666666
2019-07-06 04:00:00,21.900000000000002,21.900000000000002,21.900000000000002,21.900000000000002
2019-07-06 06:00:00,22.316666666666666,,22.316666666666666,22.316666666666666
2019-07-06 08:00:00,25.166666666666668,25.166666666666668,25.166666666666668,25.166666666666668
2019-07-06 10:00:00,27.525000000000002,27.525000000000002,27.525000000000002,27.525000000000002
2019-07-06 12:00:00,29.09166666666667,,29.09166666666667,29.09166666666667
2019-07-06 14:00:00,28.05,,,28.05
2019-07-06 16:00:00,26.558333333333334,26.558333333333334,,26.558333333333334
2019-07-06 18:00:00,24.05,24.05,,24.05
2019-07-06 20:00:00,23.883333333333336,23.883333333333336,23.883333333333336,23.883333333333336
