time,longitude,latitude,temperature_2m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,total_precipitation,surface_net_solar_radiation,potential_evaporation
1990-09-29 15:00:00,-21.707788840748236,64.07233763982487,277.43382263183594,270.1912384033203,0.256195068359375,0.2671051025390625,0.284149169921875,8.730590343475342e-05,4389203.40625,-0.0034689828753471375
1990-09-29 16:00:00,-21.707788840748236,64.07233763982487,277.2182159423828,270.9856262207031,0.256011962890625,0.26678466796875,0.284088134765625,0.00012946128845214844,4731001.46875,-0.003918856382369995
1990-09-29 17:00:00,-21.707788840748236,64.07233763982487,276.9652557373047,271.68157958984375,0.256622314453125,0.266510009765625,0.284027099609375,0.0002572983503341675,4942863.63671875,-0.0043116286396980286
1990-09-29 18:00:00,-21.707788840748236,64.07233763982487,276.56785583496094,272.4832305908203,0.2572479248046875,0.2662811279296875,0.2839813232421875,0.0003785640001296997,5044979.68359375,-0.0046156346797943115
1990-09-29 19:00:00,-21.707788840748236,64.07233763982487,276.13316345214844,273.5906677246094,0.2588043212890625,0.2660675048828125,0.2839202880859375,0.0006390213966369629,5099022.7421875,-0.0047977641224861145
1990-09-29 20:00:00,-21.707788840748236,64.07233763982487,275.6107177734375,273.5697784423828,0.2592926025390625,0.2658843994140625,0.28387451171875,0.0007371008396148682,5099023.0,-0.004878923296928406
1990-09-29 21:00:00,-21.707788840748236,64.07233763982487,275.4529571533203,273.70680236816406,0.2590179443359375,0.2657012939453125,0.2838287353515625,0.0007453560829162598,5099023.9375,-0.004928700625896454
1990-09-29 22:00:00,-21.707788840748236,64.07233763982487,275.15269470214844,273.6552429199219,0.2587127685546875,0.2655181884765625,0.2837677001953125,0.0007495284080505371,5099023.9375,-0.00495736300945282
1990-09-29 23:00:00,-21.707788840748236,64.07233763982487,275.06298828125,273.62135314941406,0.258392333984375,0.2653350830078125,0.283721923828125,0.0007514357566833496,5099023.9375,-0.004981212317943573
1990-09-30 00:00:00,-21.707788840748236,64.07233763982487,274.8588104248047,273.52110290527344,0.2581024169921875,0.26513671875,0.2836761474609375,0.0007558166980743408,5099023.9375,-0.004996471107006073
1990-09-30 01:00:00,-21.707788840748236,64.07233763982487,274.7943572998047,273.5981140136719,0.2578277587890625,0.26495361328125,0.2836151123046875,5.457550287246704e-06,0.0,-6.820075213909149e-06
1990-09-30 02:00:00,-21.707788840748236,64.07233763982487,274.5453796386719,273.4811553955078,0.257568359375,0.2647552490234375,0.2835693359375,9.534880518913269e-06,0.0,-5.710870027542114e-06
1990-09-30 03:00:00,-21.707788840748236,64.07233763982487,274.4246826171875,273.41156005859375,0.2573089599609375,0.2645721435546875,0.28350830078125,1.4547258615493774e-05,0.0,-3.9655715227127075e-06
1990-09-30 04:00:00,-21.707788840748236,64.07233763982487,274.31007385253906,273.3025360107422,0.257049560546875,0.2643890380859375,0.2834625244140625,1.868605613708496e-05,0.0,-6.660819053649902e-06
1990-09-30 05:00:00,-21.707788840748236,64.07233763982487,274.228759765625,273.2293701171875,0.2568359375,0.264190673828125,0.2834014892578125,2.882629632949829e-05,0.0,-2.0168721675872803e-05
1990-09-30 06:00:00,-21.707788840748236,64.07233763982487,274.4260711669922,273.3928985595703,0.25701904296875,0.264007568359375,0.283355712890625,8.45193862915039e-05,0.0,-5.595758557319641e-05
1990-09-30 07:00:00,-21.707788840748236,64.07233763982487,275.2545928955078,273.76116943359375,0.2589111328125,0.26385498046875,0.283294677734375,0.00036603957414627075,0.0,-0.00015325844287872314
1990-09-30 08:00:00,-21.707788840748236,64.07233763982487,275.3076477050781,273.7257995605469,0.2624969482421875,0.263763427734375,0.2832489013671875,0.0008784383535385132,2880.0,-0.00032332539558410645
1990-09-30 09:00:00,-21.707788840748236,64.07233763982487,275.5917510986328,274.0296936035156,0.265716552734375,0.263702392578125,0.2831878662109375,0.0013563185930252075,47050.0,-0.0005285851657390594
1990-09-30 10:00:00,-21.707788840748236,64.07233763982487,276.038818359375,274.5178680419922,0.2702178955078125,0.2637481689453125,0.28314208984375,0.0019926726818084717,173116.0,-0.0007593557238578796
1990-09-30 11:00:00,-21.707788840748236,64.07233763982487,276.11962890625,275.56285095214844,0.2763671875,0.263946533203125,0.2830810546875,0.0027732253074645996,381228.0,-0.0009830817580223083
1990-09-30 12:00:00,-21.707788840748236,64.07233763982487,276.63780212402344,276.3429870605469,0.285400390625,0.2644195556640625,0.2830352783203125,0.0037756115198135376,630240.0,-0.001183789223432541
1990-09-30 13:00:00,-21.707788840748236,64.07233763982487,277.31678771972656,277.0458984375,0.2958984375,0.2653656005859375,0.2829742431640625,0.0049549490213394165,920702.0,-0.0013682246208190918
1990-09-30 14:00:00,-21.707788840748236,64.07233763982487,277.8663787841797,277.6474609375,0.30487060546875,0.2669677734375,0.282928466796875,0.006126135587692261,1142018.3683166504,-0.0015115588903427124
1990-09-30 15:00:00,-21.707788840748236,64.07233763982487,278.3654479980469,278.1756134033203,0.311614990234375,0.269256591796875,0.2828826904296875,0.007275775074958801,1395930.9453125,-0.0016382262110710144
1990-09-30 16:00:00,-21.707788840748236,64.07233763982487,278.7227020263672,278.5571594238281,0.3143768310546875,0.2720794677734375,0.2828521728515625,0.008231297135353088,1614879.2734375,-0.001737985759973526
